('38375e5428c052d172da731a4c854ead9ace7bea0036e3c2568a06a8cc68f8f2', (('0', '0.01'), ('1', 'b2add0cbd618593d503e50848e1cfc4bf32b80483f20070805d1dc8bf36010e5')))
('9925a7e0b9b7cb448e7687a82bbc2dd58877074aae1748bab04e2a9a0df9d156', (('5', '0.00017295'), ('0', 'ec631350fae74dfec552e855040b4d86c965754ccc6bd062da7b4ef605f814e7')))
('9925a7e0b9b7cb448e7687a82bbc2dd58877074aae1748bab04e2a9a0df9d156', (('5', '0.00017295'), ('93', '46588f0851fe74560c82d7ce510d331195966aaa959f30994c22caee2e0e9591')))
('15c34900ec7dbd19582da24946ced5467c77bee41a88dda05d8e897fc3babfdc', (('0', '0.002'), ('1', 'f7540a03223729a0c2c28260471a9af8a3a71262e5d6921c06c3fd4da1c1bd25')))
('1bb4fa8866b10d640687794766b699cc9b54fbdc837a05d88b77eeae513ae138', (('0', '0.1'), ('0', 'e83219c7059cd7770344b492684315755621d3bc5a96e65349f91285b79a016a')))
('1bb4fa8866b10d640687794766b699cc9b54fbdc837a05d88b77eeae513ae138', (('0', '0.1'), ('0', '70f7440f4abe00fd0721b243ef93e8d8f15777979ccc4275b7297c5ec8ea124e')))
('d17c900b6f33e94f33168d6938d4636a8ffd28048399565a4fbd08e6fdfc09a4', (('1', '1'), ('1', '19ba6d9dd4fcdadd23ca182df3e168624b4db8b1bbc28d37397be18afdf71144')))
('8b3a3b0622fb84a2a30cd8bec75291f9daec6afc9ed4db40f211781263c9f5fc', (('1', '0.02'), ('1', 'e0c7ba8622755178d7e1afbc8d686803a0f31a08f9e893fdbe2d62f5c8296b88')))
('6cf0ab9693383f82c564f8e08b4843586acc19c2ba7541deb471d007f03ddaac', (('1', '1'), ('161', 'e347e2b899e7b13fdef4fa9493bb41684ae3aa57aa7ad0396ed1240c8e2e9d30')))
('6cf0ab9693383f82c564f8e08b4843586acc19c2ba7541deb471d007f03ddaac', (('1', '1'), ('1', '4299e210a8566eff6abffbe3c5191ba7bec83d80ffb111e42fa39539413ec1ce')))
('6cf0ab9693383f82c564f8e08b4843586acc19c2ba7541deb471d007f03ddaac', (('1', '1'), ('1', 'badc9f9ae76dffad199d491beefb30b6b519354e8424861d8aeaba84c78f0a67')))
('6cf0ab9693383f82c564f8e08b4843586acc19c2ba7541deb471d007f03ddaac', (('1', '1'), ('1', '7a691d1de01fdf229c4c7d3e0babe9da02cd4c4030d13a8df4ae7aaef68ee14b')))
('7b9515034c1f6e1fa341930877230c2b7970d995ffd284795b4633bab294ed61', (('1', '1'), ('0', '7d3e32d46cbf992af5fb358f20f78a045a331214ecb67558bacb434fd56bfaf3')))
('0f22b3215109a492968f0269ccdd201e6d3a5da79304bbb097be54e49e61d547', (('0', '0.9995'), ('1', 'a92e59633bb941168b8b5aef2421b0a5382dda55e37d79132005bf164ab67e5b')))
('d0c2f9468deab5f1b0fb7e8101d35459925c9a1b08d3545281fa3861747cb488', (('1', '0.098'), ('0', '7c257576d49ee7a095e19e4a78dc37737cddb37e275835afa974608b72af51fa')))
('11434398c8fc2a8418d97b229fb953c0549ff8788d0d867e1a579768efdad56c', (('0', '0.01'), ('0', '4b0147784526e6feddc65eb1cc4024572a8a3d0a06be7e38eaf1a5e07d15c217')))
('593687ab6e5e0f5be125feaee64465ad96c033af355193da02446242ace053bc', (('1', '1'), ('1', '66fd93c9efbb301a6297f5c488dbbcf0776b152d404f60f084c7ef2a590a5dd1')))
('3b98c3020695f0b089ff20a83d06dfb697e6e79e33f5d44d05292b5e0d708643', (('103', '1e-08'), ('104', '7f8e5d2b11638736a03488f5aba5c9cdde55740d0e568f8c8c3d46623b5f6855')))
